web-scraper-order,web-scraper-start-url,Main,Item
"1550447587-80","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Rang - Xào"
"1550447587-107","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Muối"
"1550447587-98","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Trộn"
"1550447587-117","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ăn Sống"
"1550447587-31","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Thức uống"
"1550447587-126","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Ăn trưa"
"1550447587-70","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Mứt - Kẹo"
"1550447587-104","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Sốt"
"1550447587-48","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Mexico"
"1550447587-38","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Hàn Quốc"
"1550447587-94","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Hầm"
"1550447587-26","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Món tráng miệng"
"1550447587-15","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-78","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Nướng - Quay"
"1550447587-112","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Rang"
"1550447587-137","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Trẻ dưới 1 tuổi"
"1550447587-108","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Vắt"
"1550447587-19","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-39","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Nhật"
"1550447587-95","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Hấp"
"1550447587-110","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Cuốn"
"1550447587-127","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Ăn kiêng"
"1550447587-34","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Món nhậu"
"1550447587-91","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Chiên"
"1550447587-54","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Salad"
"1550447587-32","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Bánh - Bánh ngọt"
"1550447587-145","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-45","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Brazil"
"1550447587-88","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Thạch - Rau câu"
"1550447587-72","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Snacks"
"1550447587-123","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mùa & dịp lễ","Mùa Thu"
"1550447587-124","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mùa & dịp lễ","Mùa Đông"
"1550447587-106","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Pha chế"
"1550447587-135","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Phụ nữ sau khi sinh"
"1550447587-121","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mùa & dịp lễ","Mùa xuân"
"1550447587-109","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ủ"
"1550447587-99","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Xay"
"1550447587-20","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-75","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Miến - Hủ tiếu"
"1550447587-61","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Chay"
"1550447587-141","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Tốt cho tim mạch"
"1550447587-90","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Nướng"
"1550447587-17","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-52","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Philippines"
"1550447587-27","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Món chay"
"1550447587-79","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Nghêu - Sò - Ốc"
"1550447587-30","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Nhanh và dễ"
"1550447587-103","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Om"
"1550447587-60","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Nem - Chả"
"1550447587-51","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Malaysia"
"1550447587-67","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Cocktail - Mocktail"
"1550447587-96","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Tiềm"
"1550447587-29","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Món ăn sáng"
"1550447587-97","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Xào"
"1550447587-76","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Bún - Mì - Phở"
"1550447587-62","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Xôi"
"1550447587-118","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ăn"
"1550447587-140","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Tốt cho trẻ em"
"1550447587-100","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ép"
"1550447587-64","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Bánh ngọt"
"1550447587-102","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ngâm"
"1550447587-82","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Món cuốn"
"1550447587-122","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mùa & dịp lễ","Mùa hè"
"1550447587-115","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Uống"
"1550447587-63","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Bánh mặn"
"1550447587-130","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Ăn vặt"
"1550447587-14","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-44","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Pháp"
"1550447587-55","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Nước chấm - Sốt"
"1550447587-144","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Chọn tham gia cuộc thi",""
"1550447587-58","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Nộm - Gỏi"
