web-scraper-order,web-scraper-start-url,category
"1550433336-89","https://www.bachhoaxanh.com/lap-xuong","Lạp xưởng bò"
"1550433336-88","https://www.bachhoaxanh.com/lap-xuong","Lạp xưởng tôm"
"1550433336-86","https://www.bachhoaxanh.com/lap-xuong","Lạp xưởng mai quế lộ"
"1550433336-90","https://www.bachhoaxanh.com/lap-xuong","Lạp xưởng gà quay"
"1550433336-87","https://www.bachhoaxanh.com/lap-xuong","Lạp xưởng heo"
"1550433336-85","https://www.bachhoaxanh.com/lap-xuong","Lạp xưởng tươi"
