web-scraper-order,web-scraper-start-url,category
"1550432560-47","https://www.bachhoaxanh.com/hat-nem","Hạt nêm nghêu, sò"
"1550432560-44","https://www.bachhoaxanh.com/hat-nem","Hạt nêm chay"
"1550432560-45","https://www.bachhoaxanh.com/hat-nem","Hạt nêm xương, thịt"
"1550432560-46","https://www.bachhoaxanh.com/hat-nem","Hạt nêm cá cơm"
