web-scraper-order,web-scraper-start-url,category
"1550432418-34","https://www.bachhoaxanh.com/tuong-ot-ca-den","Tương đậu"
"1550432418-35","https://www.bachhoaxanh.com/tuong-ot-ca-den","Tương hột"
"1550432418-37","https://www.bachhoaxanh.com/tuong-ot-ca-den","Sốt chua ngọt"
"1550432418-33","https://www.bachhoaxanh.com/tuong-ot-ca-den","Tương ớt xí muội"
"1550432418-31","https://www.bachhoaxanh.com/tuong-ot-ca-den","Tương cà"
"1550432418-32","https://www.bachhoaxanh.com/tuong-ot-ca-den","Tương đen"
"1550432418-36","https://www.bachhoaxanh.com/tuong-ot-ca-den","Tương trộn"
"1550432418-30","https://www.bachhoaxanh.com/tuong-ot-ca-den","Tương ớt"
