web-scraper-order,web-scraper-start-url,link,link-href,Category
"1550432013-15","https://www.bachhoaxanh.com/mi-nui-bun-kho","Mì, nui, miến khô","https://www.bachhoaxanh.com/mi-nui-mien-kho","Mì Ý"
"1550432011-12","https://www.bachhoaxanh.com/mi-nui-bun-kho","Hủ tiếu, phở, bún khô","https://www.bachhoaxanh.com/hu-tieu-pho-bun-kho","Bún"
"1550432011-11","https://www.bachhoaxanh.com/mi-nui-bun-kho","Hủ tiếu, phở, bún khô","https://www.bachhoaxanh.com/hu-tieu-pho-bun-kho","Phở"
"1550432013-13","https://www.bachhoaxanh.com/mi-nui-bun-kho","Mì, nui, miến khô","https://www.bachhoaxanh.com/mi-nui-mien-kho","Nui"
"1550432013-14","https://www.bachhoaxanh.com/mi-nui-bun-kho","Mì, nui, miến khô","https://www.bachhoaxanh.com/mi-nui-mien-kho","Mì sợi"
"1550432013-16","https://www.bachhoaxanh.com/mi-nui-bun-kho","Mì, nui, miến khô","https://www.bachhoaxanh.com/mi-nui-mien-kho","Miến"
"1550432011-10","https://www.bachhoaxanh.com/mi-nui-bun-kho","Hủ tiếu, phở, bún khô","https://www.bachhoaxanh.com/hu-tieu-pho-bun-kho","Hủ tiếu"
