web-scraper-order,web-scraper-start-url,Name,Address
"1553474434-677","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Lô 25 E1 Đường Nguyễn Thị Định","Số 25- E1, Đường Nguyễn Thị Định, Phường An Hải Bắc, Quận Sơn Trà, TP. Đà Nẵng"
"1553474434-622","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 120 Cách Mạng Tháng 8","120 Đường Cách Mạng Tháng 8, Phường Bùi Hữu Nghĩa, Quận Bình Thủy TP. Cần Thơ"
"1553474434-532","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 135 B Đường Số 20","135B đường số 20, phường 5, Quận Gò Vấp, Thành Phố Hồ Chí Minh"
"1553474434-49","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HPG 80 Trường Chinh","Số nhà 80, đường Trường Chinh, tổ 6, khu dân cư 08, phường Lãm Hà, quận Kiến An, thành phố Hải Phòng."
"1553474434-994","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 589 Trương Định","Số 589 Trương Định, phường Thịnh Liệt, quận Hoàng Mai, Hà Nội"
"1553474434-552","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 104 Thống Nhất","104 Thống Nhất, Phường 10, Quận Gò Vấp, Thành Phố Hồ Chí Minh"
"1553474434-296","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 549/63-65 Lê Văn Thọ","549/63-65 Lê Văn Thọ, phường 14, quận Gò Vấp , Thành phố Hồ Chí Minh"
"1553474434-774","http://www.vinmartplus.vn/he-thong-cua-hang","VINMART+ 323-325 Võ Thành Trang","323 và 325 Võ Thành Trang, Phường 11, Quận Tân Bình"
"1553474434-900","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 86 Thanh Lân","86 Thanh Lân, phường Thanh Trì, quận Hoàng Mai, Hà Nội"
"1553474434-168","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ QNH 618 Hà Lầm","Số 618 Hà Lầm, phường Hà Lầm, Thành phố Hạ Long, tỉnh Quảng Ninh."
"1553474434-838","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+  RA1 Ecopark","Căn RA1, Tầng 01, Tòa A1 Khu căn hộ Rừng Cọ (1A-01),  Khu đô thị Thương mại và Du lịch Văn Giang (Ecopark), Xã Xuân Quan, Huyện Văn Giang, Tỉnh Hưng Yên"
